source,row_index,log_prob,continuous_log_prob,event_structure_log_prob,nll,mask_pattern,primary_slot,event_risk
tail_all,63,67.74019,73.04259,-5.3024,-67.74019,15,same_rear,0.7823446
tail_all,64,164.92816,169.1021,-4.1739345,-164.92816,17,right_front,0.7616864
tail_all,65,169.66328,173.83722,-4.1739345,-169.66328,17,right_front,0.7272907
tail_all,66,165.53629,170.46399,-4.9277062,-165.53629,16,right_front,1.1983548
tail_all,67,235.5303,239.3594,-3.8290942,-235.5303,1,same_front,1.1350788
tail_all,68,51.35122,58.358368,-7.007148,-51.35122,21,right_front,1.1323394
tail_all,69,190.5796,191.48868,-0.90907377,-190.5796,17,same_front,1.0387865
tail_all,70,65.48977,70.79217,-5.3024,-65.48977,15,same_rear,1.0385948
tail_all,71,74.92998,80.684364,-5.754385,-74.92998,15,same_front,1.0359095
tail_all,72,221.79619,222.70526,-0.90907377,-221.79619,17,same_front,1.0314224
tail_all,73,222.8229,223.73198,-0.90907377,-222.8229,17,same_front,0.9281995
tail_all,74,223.5851,224.49417,-0.90907377,-223.5851,17,same_front,0.9022366
tail_all,75,52.970604,60.6709,-7.700294,-52.970604,11,same_rear,0.8957592
tail_all,76,72.54497,80.24526,-7.700294,-72.54497,41,same_front,0.8532394
tail_all,77,248.3863,249.29538,-0.90907377,-248.3863,17,same_front,0.8330533
tail_all,78,204.69029,205.59937,-0.90907377,-204.69029,17,same_front,0.8298491
tail_all,79,239.6508,240.55988,-0.90907377,-239.6508,17,same_front,0.8105876
tail_all,80,108.01345,112.38154,-4.3680906,-108.01345,21,left_front,0.8067283
tail_all,81,210.89452,211.80359,-0.90907377,-210.89452,17,same_front,0.76022315
tail_all,82,141.8331,146.06766,-4.2345595,-141.8331,5,left_front,0.7465459
tail_all,83,185.73895,186.64803,-0.90907377,-185.73895,17,same_front,0.9894348
tail_all,84,244.36235,245.27142,-0.90907377,-244.36235,17,same_front,0.83600444
tail_all,85,73.131256,77.365814,-4.2345595,-73.131256,5,left_front,0.8340468
tail_all,86,247.03574,250.86484,-3.8290942,-247.03574,1,same_front,1.087799
tail_all,87,41.065845,44.814896,-3.7490516,-41.065845,49,same_front,1.0825558
tail_all,88,214.3337,215.24277,-0.90907377,-214.3337,17,same_front,0.9653448
tail_all,89,147.1332,148.04227,-0.90907377,-147.1332,17,same_front,0.9538697
tail_all,90,35.066784,39.99449,-4.9277062,-35.066784,16,right_front,0.94733787
tail_all,91,122.665146,126.899704,-4.2345595,-122.665146,5,left_front,0.9448667
tail_all,92,175.5819,176.49097,-0.90907377,-175.5819,17,same_front,0.9419386
tail_all,93,115.43155,116.34062,-0.90907377,-115.43155,17,same_front,0.92950594
tail_all,94,252.08087,252.98994,-0.90907377,-252.08087,17,same_front,0.9208736
tail_all,95,179.47849,180.38756,-0.90907377,-179.47849,17,same_front,0.90248764
tail_all,96,91.91437,96.84207,-4.9277062,-91.91437,19,same_front,0.90037686
tail_all,97,188.2835,189.19257,-0.90907377,-188.2835,17,same_front,0.8901881
tail_all,98,66.399414,72.30795,-5.9085355,-66.399414,35,same_rear,0.8773329
tail_all,99,219.6823,220.59137,-0.90907377,-219.6823,17,same_front,0.8344527
tail_all,100,217.25024,218.15932,-0.90907377,-217.25024,17,same_front,0.81122667
