epoch,train_nll,val_nll,learning_rate
143,-114.88034476901733,-88.33706794507576,2.5e-07
144,-114.77789811781108,-88.32774029356061,2.5e-07
145,-114.50699279026765,-88.32834398674242,2.5e-07
146,-114.71169224945568,-88.32810724431818,2.5e-07
147,-114.61447882247128,-88.33892637310606,2.5e-07
148,-114.51835286338893,-88.34131747159091,2.5e-07
149,-114.82013119633943,-88.3374141808712,2.5e-07
150,-114.50736003373764,-88.34130859375,2.5e-07
151,-114.59762718367473,-88.33904178503788,2.5e-07
152,-114.44389950909928,-88.33634588068182,2.5e-07
153,-114.43948190301414,-88.3390625,2.5e-07
154,-114.70819520377768,-88.34441287878788,2.5e-07
155,-114.64520931652744,-88.34543087121212,2.5e-07
156,-114.69438919859726,-88.34341264204545,2.5e-07
157,-114.58430394069921,-88.34116062973484,2.5e-07
158,-114.83877259296283,-88.34887547348485,2.5e-07
159,-114.6373688493394,-88.34666489109848,2.5e-07
160,-114.8571844009271,-88.35699277935606,2.5e-07
161,-114.62979218111562,-88.35114820075758,2.5e-07
162,-114.60937870456443,-88.35553977272727,2.5e-07
163,-114.77009463872051,-88.35222537878788,2.5e-07
164,-114.71477153179192,-88.34995857007576,2.5e-07
165,-114.57375676695992,-88.35056226325757,2.5e-07
166,-114.65950497440879,-88.34991418087121,2.5e-07
167,-114.86223917053917,-88.33647608901515,2.5e-07
168,-114.62391216814349,-88.34127012310606,2.5e-07
169,-114.81419147776434,-88.34545750473485,2.5e-07
170,-115.04698927548218,-88.34300130208334,2.5e-07
171,-114.5470055133463,-88.32542613636363,2.5e-07
172,-114.75597264804469,-88.32139263731061,2.5e-07
173,-114.41835768294804,-88.33597892992424,2.5e-07
174,-114.48475060842405,-88.34430634469697,2.5e-07
175,-114.65773953169824,-88.34223484848485,2.5e-07
176,-114.77765179260645,-88.32766927083334,2.5e-07
177,-114.80913494264338,-88.3282256155303,2.5e-07
178,-114.81857535240646,-88.3338778409091,2.5e-07
179,-114.5869216952444,-88.34047111742424,2.5e-07
180,-114.64845382297445,-88.32710108901514,2.5e-07
181,-114.84844083568953,-88.335546875,2.5e-07
182,-114.68672055875358,-88.33093335700758,2.5e-07
183,-114.86846342649179,-88.31950165719697,2.5e-07
184,-114.62227458715992,-88.34455196496212,2.5e-07
185,-114.7396783322947,-88.35276988636363,2.5e-07
186,-115.00554686136482,-88.35184067234849,2.5e-07
187,-114.63057406754055,-88.3545809659091,2.5e-07
188,-114.53163054713379,-88.34197443181819,2.5e-07
189,-114.7891531280188,-88.32684659090908,2.5e-07
190,-114.59921680189707,-88.33881096117425,2.5e-07
191,-114.80310874949168,-88.34031131628788,2.5e-07
192,-114.73869170247224,-88.3458096590909,2.5e-07
193,-114.64538256043802,-88.34558179450758,2.5e-07
194,-114.88785107807269,-88.32721650094697,2.5e-07
195,-114.8010579883103,-88.33215258049242,2.5e-07
196,-114.78735120361911,-88.33272372159091,2.5e-07
197,-114.6837969783241,-88.3297821969697,2.5e-07
198,-114.81492879813396,-88.34275568181818,2.5e-07
199,-114.62378280345291,-88.36342033617424,2.5e-07
200,-114.60348663794012,-88.35854640151516,2.5e-07
201,-114.69940151347805,-88.33784327651514,2.5e-07
202,-114.84895138737576,-88.34011304450758,2.5e-07
203,-114.7534048829907,-88.33268821022727,2.5e-07
204,-114.71524244245268,-88.33383641098484,2.5e-07
205,-114.67003014550878,-88.33951822916667,2.5e-07
206,-114.90132016819882,-88.34185014204546,2.5e-07
207,-114.71434865682504,-88.33568596117425,2.5e-07
208,-114.8116255816653,-88.33741714015152,2.5e-07
209,-114.85980717361237,-88.34274384469697,2.5e-07
210,-114.9095350854868,-88.34441879734848,2.5e-07
211,-114.4825437763699,-88.34442471590908,2.5e-07
212,-114.53363701285033,-88.33765092329546,2.5e-07
213,-114.82755146033514,-88.33832267992425,2.5e-07
214,-114.74201740608191,-88.34328835227272,2.5e-07
215,-114.72142835972546,-88.349609375,2.5e-07
216,-114.57497135376242,-88.35724431818181,2.5e-07
217,-114.59825024695111,-88.34802320075758,2.5e-07
218,-114.72071349579117,-88.34871863162878,2.5e-07
219,-114.79374364509948,-88.35951704545455,2.5e-07
220,-114.77243201980228,-88.3534090909091,2.5e-07
221,-114.72845842070596,-88.35134351325758,2.5e-07
222,-114.72173887311541,-88.35988399621212,2.5e-07
223,-114.89749202510598,-88.3622928503788,2.5e-07
224,-114.63008591329928,-88.37007575757576,2.5e-07
225,-114.76260088448451,-88.36824692234849,2.5e-07
226,-114.84667030164952,-88.35509292140152,2.5e-07
227,-114.90380408343377,-88.37177734375,2.5e-07
228,-115.02892919684213,-88.3611387310606,2.5e-07
229,-114.79230257409002,-88.3531279592803,2.5e-07
230,-115.02827828494354,-88.35781841856061,2.5e-07
